foi,attribute,instance,parent_instance,notation,label,definition,reference,citation,isproperty,concept_definition
Surface,descriptive,bleachedSandProperty,,bleachedSandProperty,Bleached Sand Property,"The Bleached Sand property refers to the physical characteristic of sandy soil that has undergone a bleaching process due to leaching, where minerals such as iron and other elements have been removed by water. This process often occurs in areas with high rainfall, leading to a soil that appears lighter in color. Bleached sand typically indicates low fertility and poor nutrient-holding capacity due to the lack of iron and other nutrients that are washed away. Source: Brady, N. C., & Weil, R. R. (2008). The Nature and Properties of Soils (14th ed.). Pearson Prentice Hall.",,,True,Guidelines for Soil Description issued by the FAO: table 23
Surface,descriptive,colourDryProperty,,colourDryProperty,Colour Dry Property,"The Colour Dry property describes the color of soil when it is in a dry state. Soil color in the dry condition is influenced by the soil’s mineral composition and moisture content. For example, soils with high organic matter content typically appear dark brown or black when dry, while sandy or saline soils may appear lighter in color. Dry soil color is used in soil classification and can provide insights into the soil's composition and drainage. Source: Soil Science Society of America. (2008). Soil Science Glossary. Soil Science Society of America.",,,True,ISRIC Report 2019/01: Tier 1 and Tier 2 data in the context of the federated Global Soil Information System. Appendix 3
Surface,descriptive,colourMoistProperty,,colourMoistProperty,Colour Moist Property,"The Colour Moist property refers to the soil's color when it is in a wet or moist condition. Moisture enhances the color intensity of the soil, which is often darker compared to its dry state. This is particularly helpful in determining organic matter content, iron oxide presence, and soil moisture retention. For instance, moist soils with abundant organic material tend to appear darker, whereas more mineral-rich soils can appear lighter in color. Source: Soil Science Society of America. (2008). Soil Science Glossary. Soil Science Society of America.",,,True,ISRIC Report 2019/01: Tier 1 and Tier 2 data in the context of the federated Global Soil Information System. Appendix 3
Surface,descriptive,cracksDepthProperty,,cracksDepthProperty,Cracks Depth Property,"The Cracks Depth property refers to the measurement of the vertical depth of cracks formed in soil, which is typically observed in dry conditions when the soil shrinks. Cracks are more common in clayey soils that experience significant shrinkage upon drying. The depth of these cracks can indicate soil moisture levels, compaction, and the ability of the soil to expand and contract, which affects water infiltration and root penetration. Source: McSweeney, K. (2009). Soil and Water Conservation Handbook. CRC Press.",,,True,"Guidelines for Soil Description issued by the FAO: table 21,2"
Surface,descriptive,cracksDistanceProperty,,cracksDistanceProperty,Cracks Distance Property,"The Cracks Distance property refers to the horizontal spacing between cracks in the soil surface, which can occur due to the shrinkage of soil as it dries. Cracks form when water content decreases, and their distance is an indicator of the soil's shrink-swell behavior. Larger distances between cracks generally indicate more severe soil shrinkage, which can affect root growth and water infiltration. Source: McSweeney, K. (2009). Soil and Water Conservation Handbook. CRC Press.",,,True,"Guidelines for Soil Description issued by the FAO: table 21,3"
Surface,descriptive,cracksWidthProperty,,cracksWidthProperty,Cracks Width Property,"The Cracks Width property refers to the measurement of the gap or space between the sides of soil cracks. The width of these cracks is typically influenced by soil moisture content and texture. Wider cracks are indicative of drier conditions and are commonly found in soils with high clay content, which tend to shrink and form deep cracks when the moisture content is reduced. Source: McSweeney, K. (2009). Soil and Water Conservation Handbook. CRC Press.",,,True,"Guidelines for Soil Description issued by the FAO: table 21,1"
Surface,descriptive,fragmentCoverProperty,,fragmentCoverProperty,Fragment Cover Property,"The Fragment Cover property describes the proportion of the soil surface covered by coarse fragments such as rocks, stones, or other large particles. This property is important because a high fragment cover can reduce soil erosion but may also interfere with water infiltration and root growth. Fragment cover is often used as an indicator of soil stability and erosion potential. Source: FAO (2006). Guidelines for Soil Description (4th ed.). Food and Agriculture Organization of the United Nations.",,,True,"Guidelines for Soil Description issued by the FAO: table 15,1"
Surface,descriptive,fragmentsSizeProperty,,fragmentsSizeProperty,Fragments Size Property,"The Fragments Size property refers to the dimensions of rock or mineral fragments present in the soil. These fragments are categorized based on their size, ranging from small gravel particles to larger stones and boulders. Larger fragments tend to reduce soil fertility, inhibit root growth, and decrease water retention. Smaller fragments, in contrast, contribute to soil texture and permeability. Source: Soil Science Society of America. (2008). Soil Science Glossary. Soil Science Society of America.",,,True,"Guidelines for Soil Description issued by the FAO: table 15,2"
Surface,descriptive,rockAbundanceProperty,,rockAbundanceProperty,Rock Abundance Property,"The Rock Abundance property refers to the proportion or percentage of rock fragments in the soil profile. High rock abundance can affect soil tillage, water retention, root penetration, and overall soil fertility. It is often used to assess land suitability for agriculture and vegetation. Source: FAO (2006). Guidelines for Soil Description (4th ed.). Food and Agriculture Organization of the United Nations.",,,True,Guidelines for Soil Description issued by the FAO: table 26
Surface,descriptive,rockShapeProperty,,rockShapeProperty,Rock Shape Property,"The Rock Shape property describes the physical form of rock fragments in the soil, which can range from angular to rounded. Angular rocks are generally a sign of recent weathering, while rounded rocks have been smoothed by long-term weathering processes. The shape of rocks influences soil texture, drainage, and tillage requirements. Source: FAO (2006). Guidelines for Soil Description (4th ed.). Food and Agriculture Organization of the United Nations.",,,True,Guidelines for Soil Description issued by the FAO: table 28
Surface,descriptive,rockSizeProperty,,rockSizeProperty,Rock Size Property,"The Rock Size property refers to the dimensions of the rock fragments present in the soil. Rocks are typically classified by their size, from small gravel to large boulders. Larger rocks can limit root growth, hinder water infiltration, and complicate soil management practices. Source: Soil Science Society of America. (2008). Soil Science Glossary. Soil Science Society of America.",,,True,Guidelines for Soil Description issued by the FAO: table 27
