Character,Layer,Horizon,Description
H,True,True,"Layer dominated by organic material formed from accumulations of undecomposed or partially decomposed organic material at the soil surface, which may be underwater. All H horizons are saturated with water for prolonged periods, or were once saturated but are now drained artificially. An H horizon may be on top of mineral soils or at any depth beneath the surface if it is buried."
O,True,True,"Layer dominated by organic material consisting of undecomposed or partially decomposed litter, such as leaves, needles, twigs, moss and lichens, that has accumulated on the surface; they may be on top of either mineral or organic soils. O horizons are not saturated with water for prolonged periods. The mineral fraction of such material is only a small percentage of the volume of the material and is generally much less than half of the weight.  An O layer may be at the surface of a mineral soil or at any depth beneath the surface where it is buried. A horizon formed by illuviation of organic material into mineral subsoil is not an O horizon, although some horizons formed in this manner contain much organic matter."
A,False,True,"Mineral horizon that formed at the surface or below an O horizon, in which all or much of the original rock structure has been obliterated and which are characterized by one or more of the following: i) an accumulation of humified organic matter intimately mixed with the mineral fraction and not displaying properties characteristic of E or B horizons; ii) properties resulting from cultivation, pasturing, or similar kinds of disturbance; iii) a morphology that is different from the underlying B or C horizon, resulting from processes related to the surface.  If a surface horizon (or epipedon) has properties of both A and E horizons but the dominant feature is an accumulation of humified organic matter, it is designated an A horizon. In some places, where warm and arid climates prevail, the undisturbed surface horizon is less dark than the underlying horizon and contains only small amounts of organic matter. It has a morphology distinct from the C layer, although the mineral fraction may be unaltered or only slightly altered by weathering. Such a horizon is designated A because it is at the surface.  Examples of epipedons that may have a different structure or morphology owing to surface processes are Vertisols, soils in pans or playas with little vegetation, and soils in deserts.  However, recent alluvial or aeolian deposits that retain fine stratification are not considered to be an A horizon unless cultivated."
E,False,True,"Mineral horizon in which the main feature is loss of silicate clay, iron, aluminium, or some combination of these, leaving a concentration of sand and silt particles, and in which all or much of the original rock structure has been obliterated.  An E horizon is usually, but not necessarily, lighter in colour than an underlying B horizon. In some soils, the colour is that of the sand and silt particles, but in many soils coatings of iron oxides or other compounds mask the colour of the primary particles. An E horizon is most commonly differentiated from an underlying B horizon in the same soil profile: by colour of higher value or lower chroma, or both; by coarser texture; or by a combination of these properties. An E horizon is commonly near the surface, below an O or A horizon and above a B horizon. However, the symbol E may be used without regard to position in the profile for any horizon that meets the requirements and that has resulted from soil genesis."
B,False,True,"Horizon formed below an A, E, H or O horizon, and in which the dominant features are the obliteration of all or much of the original rock structure, together with one or a combination of the following: i) illuvial concentration, alone or in combination, of silicate clay, iron, aluminium, humus, carbonates, gypsum or silica; ii) evidence of removal of carbonates; iii) residual concentration of sesquioxides; iv) coatings of sesquioxides that make the horizon conspicuously lower in value, higher in chroma, or redder in hue than overlying and underlying horizons without apparent illuviation of iron; v) alteration that forms silicate clay or liberates oxides or both and that forms a granular, blocky or prismatic structure if volume changes accompany changes in moisture content; vi) brittleness. All kinds of B horizons are, or were originally, subsurface horizons. Included as B horizons are layers of illuvial concentration of carbonates, gypsum or silica that are the result of pedogenetic processes (these layers may or may not be cemented) and brittle layers that have other evidence of alteration, such as prismatic structure or illuvial accumulation of clay. Examples of layers that are not B horizons are: layers in which clay films either coat rock fragments or are on finely stratified unconsolidated sediments, whether the films were formed in place or by illuviation; layers into which carbonates have been illuviated but that are not contiguous to an overlying genetic horizon; and layers with gleying but no other pedogenetic changes."
C,True,True,"Horizon or layer, excluding hard bedrock, that is little affected by pedogenetic processes and lacks properties of H, O, A, E or B horizons. Most C layers are mineral layers, but some siliceous and calcareous layers, such as shells, coral and diatomaceous earth, are included. The material of C layers may be either like or unlike that from which the solum presumably formed. A C horizon may have been modified even where there is no evidence of pedogenesis. Plant roots can penetrate C horizons, which provide an important growing medium.  Included as C layers are sediments, saprolite, and unconsolidated bedrock and other geological materials that commonly slake within 24 hours when air dry or drier chunks are placed in water and when moist can be dug with a spade. Some soils form in material that is already highly weathered, and such material that does not meet the requirements of A, E or B horizons is designated C. Changes not considered pedogenetic are those not related to overlying horizons. Layers having accumulations of silica, carbonates or gypsum, even if indurated, may be included in C horizons unless the layer is obviously affected by pedogenetic processes; then it is a B horizon."
R,True,False,"A layer consisting of hard bedrock underlying the soil. Granite, basalt, quartzite and indurated limestone or sandstone are examples of bedrock that are designated R.  Air-dry or drier chunks of an R layer when placed in water will not slake within 24 hours. The R layer is sufficiently coherent when moist to make hand digging with a spade impractical, although it may be chipped or scraped. Some R layers can be ripped with heavy power equipment. The bedrock may contain cracks, but these are so few and so small that few roots can penetrate. The cracks may be coated or filled with clay or other material."
I,True,False,"An ice lense or wedge containing at least 75 percent ice (by volume) and that distinctly separates organic or mineral layers in the soil. Ice comes and goes in soils in areas affected by permafrost. Ice bodies in soils can grow to such an extent that they form lenses of wedges that separate entire soil layers. In case such, where ice concentrations occur within the depth of soil description, they can be designated as an I layer. The I symbol is not used in transitional horizon designations."
L,True,False,"Sediments deposited in a body of water (subaqueous) composed of both organic and inorganic materials, also known as limnic material.  Limnic material is either: (i) deposited by precipitation or through action of aquatic organisms, such as algae or diatoms; or (ii) derived from underwater and floating aquatic plants and subsequently modified by aquatic animals (USDA Soil Survey Staff, 2003). L layers include coprogenous earth or sedimentary peat (mostly organic), diatomaceous earth (mostly siliceous), and marl (mostly calcareous). The L symbol is not used in transitional horizon designations."
W,True,False,"A water layer in soil or water submerging soil, either permanently or cyclic within the time frame of 24 hours. Some organic soils float on water. In such cases, the W symbol may be used at the end of the soil description to indicate the floating character. In other cases, shallow water (i.e. water not deeper than 1 m) may cover the soil permanently, as in the case of shallow lakes, or cyclic, as in tidal flats. The symbol W is then used to indicate the depth of submergence at the start of the horizon or layer sequence.  The occurrence of tidal water can be indicated by (W)."
